INFO: STARTING!
INFO: Log parameter values verbosely: [0]
INFO: Min num runs: [10]
INFO: Num threads: [1]
INFO: Graph: [/home/cc/tflite_models/ResNet152.tflite]
INFO: Signature to run: []
INFO: Enable op profiling: [1]
INFO: #threads used for CPU inference: [1]
INFO: Loaded model /home/cc/tflite_models/ResNet152.tflite
INFO: The input model file size (MB): 240.571
INFO: Initialized session in 370.774ms.
INFO: Running benchmark for at least 1 iterations and at least 0.5 seconds but terminate if exceeding 150 seconds.
INFO: count=2 first=369112 curr=368521 min=368521 max=369112 avg=368816 std=295 p5=368521 median=369112 p95=369112

INFO: Running benchmark for at least 10 iterations and at least 1 seconds but terminate if exceeding 150 seconds.
INFO: count=10 first=368937 curr=369393 min=368508 max=370281 avg=369374 std=424 p5=368508 median=369405 p95=370281

INFO: Inference timings in us: Init: 370774, First inference: 369112, Warmup (avg): 368816, Inference (avg): 369374
INFO: Note: as the benchmark tool itself affects memory footprint, the following is only APPROXIMATE to the actual memory footprint of the model at runtime. Take the information at your discretion.
INFO: Memory footprint delta from the start of the tool (MB): init=570.914 overall=572.262
INFO: Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	                 ModifyGraphWithDelegate	  289.890	  289.890	 83.504%	 83.504%	461632.000	        1	ModifyGraphWithDelegate/0
	                         AllocateTensors	   57.265	   57.265	 16.496%	100.000%	108764.000	        1	AllocateTensors/0

============================== Top by Computation Time ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	                 ModifyGraphWithDelegate	  289.890	  289.890	 83.504%	 83.504%	461632.000	        1	ModifyGraphWithDelegate/0
	                         AllocateTensors	   57.265	   57.265	 16.496%	100.000%	108764.000	        1	AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
	                             [Node type]	  [count]	  [avg ms]	    [avg %]	    [cdf %]	  [mem KB]	[times called]
	                 ModifyGraphWithDelegate	        1	   289.890	    83.504%	    83.504%	461632.000	        1
	                         AllocateTensors	        1	    57.265	    16.496%	   100.000%	108764.000	        1

Timings (microseconds): count=1 curr=347155
Memory (bytes): count=0
2 nodes observed



INFO: Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	           Convolution (NHWC, F32) IGEMM	    4.516	    4.523	  1.225%	  1.225%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:0
	                  Constant Pad (ND, X32)	    0.511	    0.511	  0.139%	  1.364%	     0.000	        1	Delegate/Constant Pad (ND, X32):1
	                 Max Pooling (NHWC, F32)	    0.197	    0.197	  0.053%	  1.417%	     0.000	        1	Delegate/Max Pooling (NHWC, F32):2
	            Convolution (NHWC, F32) GEMM	    1.543	    1.638	  0.444%	  1.861%	     0.000	        1	Delegate/Convolution (NHWC, F32) GEMM:3
	            Convolution (NHWC, F32) GEMM	    0.350	    0.349	  0.095%	  1.955%	     0.000	        1	Delegate/Convolution (NHWC, F32) GEMM:4
	           Convolution (NHWC, F32) IGEMM	    3.196	    3.201	  0.867%	  2.823%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:5
	            Convolution (NHWC, F32) GEMM	    1.551	    1.552	  0.420%	  3.243%	     0.000	        1	Delegate/Convolution (NHWC, F32) GEMM:6
