INFO: STARTING!
INFO: Log parameter values verbosely: [0]
INFO: Min num runs: [10]
INFO: Num threads: [1]
INFO: Graph: [/home/cc/tflite_models/InceptionV3_quant.tflite]
INFO: Signature to run: []
INFO: Enable op profiling: [1]
INFO: #threads used for CPU inference: [1]
INFO: Loaded model /home/cc/tflite_models/InceptionV3_quant.tflite
INFO: The input model file size (MB): 24.1382
INFO: Initialized session in 82.246ms.
INFO: Running benchmark for at least 1 iterations and at least 0.5 seconds but terminate if exceeding 150 seconds.
INFO: count=5 first=105786 curr=105664 min=105444 max=105786 avg=105645 std=111 p5=105444 median=105664 p95=105786

INFO: Running benchmark for at least 10 iterations and at least 1 seconds but terminate if exceeding 150 seconds.
INFO: count=10 first=105477 curr=105552 min=105392 max=105822 avg=105524 std=112 p5=105392 median=105510 p95=105822

INFO: Inference timings in us: Init: 82246, First inference: 105786, Warmup (avg): 105645, Inference (avg): 105524
INFO: Note: as the benchmark tool itself affects memory footprint, the following is only APPROXIMATE to the actual memory footprint of the model at runtime. Take the information at your discretion.
INFO: Memory footprint delta from the start of the tool (MB): init=64.9844 overall=67.1055
INFO: Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	                 ModifyGraphWithDelegate	   46.955	   46.955	 81.348%	 81.348%	 43084.000	        1	ModifyGraphWithDelegate/0
	                         AllocateTensors	   10.766	   10.766	 18.652%	100.000%	 13988.000	        1	AllocateTensors/0

============================== Top by Computation Time ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	                 ModifyGraphWithDelegate	   46.955	   46.955	 81.348%	 81.348%	 43084.000	        1	ModifyGraphWithDelegate/0
	                         AllocateTensors	   10.766	   10.766	 18.652%	100.000%	 13988.000	        1	AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
	                             [Node type]	  [count]	  [avg ms]	    [avg %]	    [cdf %]	  [mem KB]	[times called]
	                 ModifyGraphWithDelegate	        1	    46.955	    81.348%	    81.348%	 43084.000	        1
	                         AllocateTensors	        1	    10.766	    18.652%	   100.000%	 13988.000	        1

Timings (microseconds): count=1 curr=57721
Memory (bytes): count=0
2 nodes observed



INFO: Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	           Convolution (NHWC, F32) IGEMM	    0.460	    0.458	  0.435%	  0.435%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:0
	                  Convert (NC, F32, QD8)	    0.242	    0.241	  0.229%	  0.664%	     0.000	        1	Delegate/Convert (NC, F32, QD8):1
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    3.634	    3.640	  3.456%	  4.120%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:2
	                  Convert (NC, F32, QD8)	    0.232	    0.233	  0.221%	  4.341%	     0.000	        1	Delegate/Convert (NC, F32, QD8):3
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    7.307	    7.312	  6.942%	 11.282%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:4
	                 Max Pooling (NHWC, F32)	    0.326	    0.320	  0.304%	 11.586%	     0.000	        1	Delegate/Max Pooling (NHWC, F32):5
	                  Convert (NC, F32, QD8)	    0.111	    0.113	  0.107%	 11.693%	     0.000	        1	Delegate/Convert (NC, F32, QD8):6
