INFO: STARTING!
INFO: Log parameter values verbosely: [0]
INFO: Min num runs: [10]
INFO: Num threads: [1]
INFO: Graph: [/home/jovyan/tflite_models/InceptionV3_quant.tflite]
INFO: Signature to run: []
INFO: Enable op profiling: [1]
INFO: #threads used for CPU inference: [1]
INFO: Loaded model /home/jovyan/tflite_models/InceptionV3_quant.tflite
INFO: The input model file size (MB): 24.1382
INFO: Initialized session in 70.844ms.
INFO: Running benchmark for at least 1 iterations and at least 0.5 seconds but terminate if exceeding 150 seconds.
INFO: count=5 first=109544 curr=109403 min=109062 max=109544 avg=109348 std=181 p5=109062 median=109403 p95=109544

INFO: Running benchmark for at least 10 iterations and at least 1 seconds but terminate if exceeding 150 seconds.
INFO: count=10 first=109497 curr=109252 min=108767 max=110305 avg=109216 std=415 p5=108767 median=109147 p95=110305

INFO: Inference timings in us: Init: 70844, First inference: 109544, Warmup (avg): 109348, Inference (avg): 109216
INFO: Note: as the benchmark tool itself affects memory footprint, the following is only APPROXIMATE to the actual memory footprint of the model at runtime. Take the information at your discretion.
INFO: Memory footprint delta from the start of the tool (MB): init=64.3555 overall=66.8555
INFO: Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	                 ModifyGraphWithDelegate	   54.312	   54.312	 78.196%	 78.196%	 43264.000	        1	ModifyGraphWithDelegate/0
	                         AllocateTensors	   15.144	   15.144	 21.804%	100.000%	 13932.000	        1	AllocateTensors/0

============================== Top by Computation Time ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	                 ModifyGraphWithDelegate	   54.312	   54.312	 78.196%	 78.196%	 43264.000	        1	ModifyGraphWithDelegate/0
	                         AllocateTensors	   15.144	   15.144	 21.804%	100.000%	 13932.000	        1	AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
	                             [Node type]	  [count]	  [avg ms]	    [avg %]	    [cdf %]	  [mem KB]	[times called]
	                 ModifyGraphWithDelegate	        1	    54.312	    78.196%	    78.196%	 43264.000	        1
	                         AllocateTensors	        1	    15.144	    21.804%	   100.000%	 13932.000	        1

Timings (microseconds): count=1 curr=69456
Memory (bytes): count=0
2 nodes observed



INFO: Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	           Convolution (NHWC, F32) IGEMM	    2.326	    2.307	  2.116%	  2.116%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:0
	                  Convert (NC, F32, QD8)	    0.893	    0.891	  0.817%	  2.934%	     0.000	        1	Delegate/Convert (NC, F32, QD8):1
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    3.376	    3.390	  3.110%	  6.044%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:2
	                  Convert (NC, F32, QD8)	    0.836	    0.843	  0.773%	  6.817%	     0.000	        1	Delegate/Convert (NC, F32, QD8):3
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    6.934	    6.922	  6.350%	 13.167%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:4
	                 Max Pooling (NHWC, F32)	    1.972	    1.926	  1.767%	 14.934%	     0.000	        1	Delegate/Max Pooling (NHWC, F32):5
	                  Convert (NC, F32, QD8)	    0.265	    0.260	  0.238%	 15.172%	     0.000	        1	Delegate/Convert (NC, F32, QD8):6
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.847	    0.849	  0.779%	 15.950%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:7
	                  Convert (NC, F32, QD8)	    0.526	    0.523	  0.480%	 16.430%	     0.000	        1	Delegate/Convert (NC, F32, QD8):8
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	   10.148	   10.164	  9.325%	 25.755%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:9
	                 Max Pooling (NHWC, F32)	    1.490	    1.429	  1.311%	 27.066%	     0.000	        1	Delegate/Max Pooling (NHWC, F32):10
	Average Pooling (NHWC, F32) Pixelwise Average Pooling	    0.410	    0.367	  0.337%	 27.403%	     0.000	        1	Delegate/Average Pooling (NHWC, F32) Pixelwise Average Pooling:11
	                  Convert (NC, F32, QD8)	    0.160	    0.157	  0.144%	 27.546%	     0.000	        1	Delegate/Convert (NC, F32, QD8):12
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.129	    0.126	  0.115%	 27.662%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:13
	                  Convert (NC, F32, QD8)	    0.140	    0.141	  0.129%	 27.791%	     0.000	        1	Delegate/Convert (NC, F32, QD8):14
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.248	    0.251	  0.230%	 28.021%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:15
	                  Convert (NC, F32, QD8)	    0.200	    0.204	  0.188%	 28.209%	     0.000	        1	Delegate/Convert (NC, F32, QD8):16
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.187	    0.187	  0.172%	 28.380%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:17
	                  Convert (NC, F32, QD8)	    0.029	    0.029	  0.027%	 28.407%	     0.000	        1	Delegate/Convert (NC, F32, QD8):18
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    1.413	    1.411	  1.294%	 29.701%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:19
	                  Convert (NC, F32, QD8)	    0.285	    0.287	  0.263%	 29.964%	     0.000	        1	Delegate/Convert (NC, F32, QD8):20
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.244	    0.244	  0.224%	 30.188%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:21
	                  Convert (NC, F32, QD8)	    0.038	    0.038	  0.035%	 30.223%	     0.000	        1	Delegate/Convert (NC, F32, QD8):22
