INFO: STARTING!
INFO: Log parameter values verbosely: [0]
INFO: Min num runs: [10]
INFO: Num threads: [1]
INFO: Graph: [/home/jovyan/tflite_models/ResNet152.tflite]
INFO: Signature to run: []
INFO: Enable op profiling: [1]
INFO: #threads used for CPU inference: [1]
INFO: Loaded model /home/jovyan/tflite_models/ResNet152.tflite
INFO: The input model file size (MB): 240.571
INFO: Initialized session in 586.382ms.
INFO: Running benchmark for at least 1 iterations and at least 0.5 seconds but terminate if exceeding 150 seconds.
INFO: count=1 curr=697941 p5=697941 median=697941 p95=697941

INFO: Running benchmark for at least 10 iterations and at least 1 seconds but terminate if exceeding 150 seconds.
INFO: count=10 first=687280 curr=683452 min=682607 max=687473 avg=684591 std=1609 p5=682607 median=684310 p95=687473

INFO: Inference timings in us: Init: 586382, First inference: 697941, Warmup (avg): 697941, Inference (avg): 684591
INFO: Note: as the benchmark tool itself affects memory footprint, the following is only APPROXIMATE to the actual memory footprint of the model at runtime. Take the information at your discretion.
INFO: Memory footprint delta from the start of the tool (MB): init=570.246 overall=571.746
INFO: Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	                 ModifyGraphWithDelegate	  497.131	  497.131	 85.034%	 85.034%	461952.000	        1	ModifyGraphWithDelegate/0
	                         AllocateTensors	   87.496	   87.496	 14.966%	100.000%	108540.000	        1	AllocateTensors/0

============================== Top by Computation Time ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	                 ModifyGraphWithDelegate	  497.131	  497.131	 85.034%	 85.034%	461952.000	        1	ModifyGraphWithDelegate/0
	                         AllocateTensors	   87.496	   87.496	 14.966%	100.000%	108540.000	        1	AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
	                             [Node type]	  [count]	  [avg ms]	    [avg %]	    [cdf %]	  [mem KB]	[times called]
	                 ModifyGraphWithDelegate	        1	   497.131	    85.034%	    85.034%	461952.000	        1
	                         AllocateTensors	        1	    87.496	    14.966%	   100.000%	108540.000	        1

Timings (microseconds): count=1 curr=584627
Memory (bytes): count=0
2 nodes observed



INFO: Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	           Convolution (NHWC, F32) IGEMM	   10.459	   10.461	  1.529%	  1.529%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:0
	                  Constant Pad (ND, X32)	    2.034	    2.081	  0.304%	  1.833%	     0.000	        1	Delegate/Constant Pad (ND, X32):1
	                 Max Pooling (NHWC, F32)	    0.914	    0.893	  0.130%	  1.963%	     0.000	        1	Delegate/Max Pooling (NHWC, F32):2
	          Fully Connected (NC, F32) GEMM	    3.177	    3.167	  0.463%	  2.426%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:3
	          Fully Connected (NC, F32) GEMM	    0.838	    0.825	  0.121%	  2.546%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:4
	           Convolution (NHWC, F32) IGEMM	    6.435	    6.456	  0.943%	  3.490%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:5
	          Fully Connected (NC, F32) GEMM	    3.253	    3.247	  0.474%	  3.964%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:6
	                 Binary Elementwise (ND)	    2.812	    2.762	  0.404%	  4.368%	     0.000	        1	Delegate/Binary Elementwise (ND):7
	                  Unary Elementwise (NC)	    0.606	    0.619	  0.091%	  4.458%	     0.000	        1	Delegate/Unary Elementwise (NC):8
	          Fully Connected (NC, F32) GEMM	    3.295	    3.269	  0.478%	  4.936%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:9
	           Convolution (NHWC, F32) IGEMM	    6.383	    6.391	  0.934%	  5.870%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:10
	          Fully Connected (NC, F32) GEMM	    3.345	    3.297	  0.482%	  6.352%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:11
	                 Binary Elementwise (ND)	    5.568	    3.043	  0.445%	  6.796%	     0.000	        1	Delegate/Binary Elementwise (ND):12
	                  Unary Elementwise (NC)	    0.850	    0.698	  0.102%	  6.898%	     0.000	        1	Delegate/Unary Elementwise (NC):13
	          Fully Connected (NC, F32) GEMM	    3.273	    3.281	  0.479%	  7.378%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:14
	           Convolution (NHWC, F32) IGEMM	    6.378	    6.418	  0.938%	  8.316%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:15
	          Fully Connected (NC, F32) GEMM	    3.184	    3.353	  0.490%	  8.806%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:16
	                 Binary Elementwise (ND)	    3.941	    3.484	  0.509%	  9.315%	     0.000	        1	Delegate/Binary Elementwise (ND):17
	                  Unary Elementwise (NC)	    0.837	    0.744	  0.109%	  9.423%	     0.000	        1	Delegate/Unary Elementwise (NC):18
	           Convolution (NHWC, F32) IGEMM	    5.660	    5.675	  0.829%	 10.253%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:19
	           Convolution (NHWC, F32) IGEMM	    1.547	    1.538	  0.225%	 10.477%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:20
	           Convolution (NHWC, F32) IGEMM	    6.273	    6.290	  0.919%	 11.396%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:21
	          Fully Connected (NC, F32) GEMM	    2.915	    3.013	  0.440%	 11.836%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:22
	                 Binary Elementwise (ND)	    1.471	    1.389	  0.203%	 12.039%	     0.000	        1	Delegate/Binary Elementwise (ND):23
	                  Unary Elementwise (NC)	    0.268	    0.302	  0.044%	 12.084%	     0.000	        1	Delegate/Unary Elementwise (NC):24
	          Fully Connected (NC, F32) GEMM	    2.935	    2.900	  0.424%	 12.507%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:25
